ideal,curve,encrypted_curve

0,2.7499764366441004e-29,8.224015857806735e-12
0,0.06972016755079267,-6.421455635058007e-12
0,9.840848004588333e-05,6.255354618168221e-13
0,1.7435087912789247e-09,4.8741234768944446e-12
0,3.525788473076624e-05,-4.762966611357943e-12
0,0.8207646235352302,-5.8125652258337825e-12
0,0.025022116888613433,1.5057958702635218e-13
0,8.576610265324358e-17,4.814511611165091e-13
0,5.012708663719536e-47,-7.132828873037304e-13
0,0.8207632591690447,8.936549873824173e-13
0,1.5825447796594488e-18,5.2712988948826796e-12
0,4.845176967488677e-47,8.788596345247788e-12
0,1.693210815546179e-06,6.217615812353287e-12
0,0.0026228071934423047,-9.1918297111812e-13
0,0.19445063925086212,1.05311625313534e-12
1,1.9999791836459764e-06,3.514843703534501e-12
0,4.7881002407636795e-31,6.591918565759577e-12
0,3.0275401146162953e-18,-3.2873419405429425e-12
0,0.0005118915235040528,3.519126901414173e-14
0,0.4408503741872456,-5.690910027901629e-12
0,0.0014175912451826157,-2.75399198485257e-12
0,2.943579715560429e-17,3.1751857543778194e-12
0,2.246416836435093e-09,3.5001847961247744e-12
0,0.07460791146206905,-2.9859489678060413e-12
0,4.2070648512189196e-23,2.7229864716572305e-12
1,0.01660503416972562,-7.587842270537147e-14
0,0.0026228071941707012,-2.5082871364166987e-12
0,0.36396195073926413,1.4912937053782804e-12
0,1.211542794650107e-09,7.313204277561225e-13
0,0.1630971029010106,-4.162272124954591e-12
0,9.840856339154159e-05,3.684596811706209e-12
0,9.571477957881881e-15,-2.217208276130831e-12
0,3.7567781107457348e-06,1.480586955108593e-11
0,3.533357518417756e-05,-6.136646801247339e-12
0,0.005958582486570398,-8.326471570089657e-12
0,0.0006308421536531582,-1.8094410153443322e-12
0,3.5230233661216935e-10,1.8468285976072005e-12
0,0.016883314618819607,5.691134138230749e-12
0,8.837459767730403e-30,1.346819917720878e-11
0,0.1582443622068108,5.2725054097675444e-12
