Tick,Count
1142.1464881896973,10
1138.134577512741,10
1130.1156799793243,10
1138.054714679718,10
1134.0120301246643,10
1127.6482996940613,10
1130.4497447013855,10
1134.7111728191376,10
1129.5753166675568,10
1137.0649127960205,10
1147.7768259048462,10
1144.8576204776764,10
1145.497407913208,10
1147.8799200057983,10
1152.4166417121887,10
1146.1434125900269,10
1143.0170531272888,10
1142.1862223148346,10
1147.824256658554,10
1142.2631821632385,10
1163.521591424942,10
1148.0338146686554,10
1156.859759569168,10
1174.8196685314178,10
1184.0137503147125,10
1163.7568168640137,10
1168.9852690696716,10
1190.1008641719818,10
1168.7111032009125,10
1148.999445438385,10
1185.436827659607,10
1201.3067948818207,10
1137.0037105083466,10
1059.6527245044708,10
1180.1319980621338,10
1204.6118853092194,10
1191.1839654445648,10
1202.8404324054718,10
1193.4470484256744,10
1185.7694249153137,10
1179.1618552207947,10
1186.7981283664703,10
1192.7573518753052,10
1170.0612959861755,10
1208.4970321655273,10
1181.4760158061981,10
1183.2242999076843,10
1164.9731702804565,10
1156.9679250717163,10
1155.8251729011536,10
