ideal,encrypted,error

1,2.2471548376108486e-13,0.9999999999997753
0,1.00674548673036e-11,1.00674548673036e-11
0,9.408123967596428e-13,9.408123967596428e-13
0,-4.917322345926517e-12,4.917322345926517e-12
0,-6.471302592283814e-13,6.471302592283814e-13
0,8.818648197258468e-12,8.818648197258468e-12
1,-2.0844266978593026e-12,1.0000000000020843
0,8.450654132158372e-12,8.450654132158372e-12
0,2.007570151664534e-12,2.007570151664534e-12
0,-1.6689644367851885e-11,1.6689644367851885e-11
0,-1.256302810928528e-12,1.256302810928528e-12
0,7.191155986356327e-12,7.191155986356327e-12
0,-5.903923600883508e-12,5.903923600883508e-12
0,-4.0112404583136996e-12,4.0112404583136996e-12
0,5.895198477811897e-12,5.895198477811897e-12
0,-3.3157619456267736e-12,3.3157619456267736e-12
0,1.5774604254479703e-12,1.5774604254479703e-12
0,-6.580659133859211e-13,6.580659133859211e-13
0,1.4219046710105623e-12,1.4219046710105623e-12
1,-1.3089518388833225e-12,1.000000000001309
0,-2.291394604453862e-12,2.291394604453862e-12
0,2.506005057060231e-12,2.506005057060231e-12
0,3.6095855697331416e-12,3.6095855697331416e-12
0,-6.81587165289365e-12,6.81587165289365e-12
0,-1.1530717544882806e-12,1.1530717544882806e-12
0,-1.4462635937075098e-12,1.4462635937075098e-12
0,4.216267530685919e-12,4.216267530685919e-12
0,-1.0633118491028603e-11,1.0633118491028603e-11
0,1.695855332260008e-12,1.695855332260008e-12
0,-2.518031219272674e-12,2.518031219272674e-12
0,5.2173103452644225e-15,7.44906902190288e-12
0,1.138198436587927e-13,-4.7891367576676424e-12
0,6.129336262480886e-14,9.717598346265216e-12
0,1.7621843600026569e-40,-1.1559012703087754e-11
0,1.3053763223506407e-11,6.101164662971445e-12
0,0.0009404750965186197,3.378846094061806e-12
0,2.246529081228902e-09,-1.0924564028651269e-11
0,0.005956914286335743,-1.2456081303199875e-11
0,1.619037074542897e-06,1.277643203501877e-11
0,4.788101998572414e-31,6.354454191309589e-12
0,3.0307993957021547e-18,-2.7953512149178716e-12
0,0.016605034359677064,-9.80420746868917e-12
0,4.207064910189232e-23,6.94738462173273e-12
0,0.002677108143667967,-2.2955650534339257e-12
0,6.81995948984241e-06,9.09846220230858e-13
0,0.005956914302373574,-2.0043966869260347e-12
0,3.6826114032604907e-06,-1.4527779686885205e-12
0,2.740254978056797e-10,6.024665908710033e-13
0,5.301654496150719e-06,1.006492429961451e-11
0,3.1278460276259836e-07,-1.384320249103035e-11
0,3.8416028850110454e-07,3.317144701287173e-12
0,1.2507838307874036e-16,3.0980360661756394e-12
0,7.48668718550999e-21,-2.8720103970793947e-12
0,0.0014195053996035234,-1.5301037831357722e-11
0,2.2549130500995215e-15,7.197876494438177e-12
0,2.3383849650980028e-05,-1.196890478413614e-12
0,0.0014175171547383396,-7.883071926283026e-12
0,5.8647756759385345e-08,6.561707960605216e-12
0,4.2947713493874485e-24,8.046641243067787e-12
0,4.492801861693136e-11,1.0917054672197763e-12
