Tick,Count

2646.7085978984833,15
2638.5202708244324,15
2650.8084664344788,15
2565.829742908478,15
2569.9719874858856,15
2305.9643766880035,15
2573.4423656463623,15
2560.517636537552,15
2562.989594221115,15
2605.602902173996,15
2642.372017621994,15
2657.617961883545,15
2650.5808522701263,15
2711.948964357376,15
2660.101702928543,15
2733.7365510463715,15
2689.685089826584,15
2576.9460322856903,15
2662.656032562256,15
2671.672288417816,15
2477.4312767982483,15
2475.9716968536377,15
2480.317700624466,15
3077.355899333954,15
2789.0353288650513,15
2824.1285479068756,15
2877.4151527881622,15
2786.301808834076,15
2855.9811713695526,15
2878.707999944687,15
4037.279560804367,15
2615.6315128803253,15
2788.280478954315,15
2868.7878420352936,15
2822.019548892975,15
2848.3752975463867,15
2576.657351732254,15
2592.716792345047,15
2807.386125802994,15
2811.26012635231,15
