Threshold, Curve
10, 13.226299520472738
12, 16.93919489472071
10, 13.244621051383643
7, 11.719498925020078
12, 15.25980771207315
10, 14.544139703082996
9, 12.03003037880739
7, 12.367005852215577
11, 16.62851446395941
16, 19.967015305576062
4, 10.167740273364192
7, 11.038669078306526
13, 15.838274146798575
2, 8.966922816089195
5, 11.206830989037666
8, 14.22109575829576
10, 13.989617236280518
5, 12.397749332898883
8, 12.412045596885168
10, 13.60946841626493
15, 18.59584253700208
11, 13.536453008856439
9, 13.007685291146878
7, 12.406814138132656
6, 15.22755134512597
13, 14.511945055938082
11, 18.225982877731134
13, 16.43697966055751
12, 14.501828304939263
13, 18.71719512416393
10, 15.974847672960975
9, 14.185543050186673
11, 15.958676111674961
13, 19.748994255831843
8, 13.080080251927072
13, 18.616574564473247
8, 13.321914024296163
11, 13.447706070885685
15, 19.32483307405777
12, 14.804274860546704
17, 20.414161428506
9, 14.979822105751143
9, 12.196096293635467
4, 9.731755604737026
11, 14.834829654479003
5, 12.973986587353632
15, 17.28665111939985
10, 14.962485839735304
11, 14.115375637546885
7, 13.663698469265897
19, 21.249325158497907
6, 11.882879592188354
7, 11.270372155217542
10, 11.937463859409485
11, 16.328509177965334
6, 11.049532869100734
20, 24.59458111607306
8, 11.807654189200003
7, 13.221098477169912
6, 10.763853774495383
8, 12.60048976547148
7, 11.026029519297822
13, 17.403962694069854
9, 12.463087586187248
9, 14.588523490949962
8, 12.565310710932735
7, 14.337323451979076
12, 16.099112112522427
8, 12.493682907899633
12, 15.436360694614574
13, 18.1163026572631
6, 10.23963080616465
8, 14.583110373642864
9, 14.526743830233745
9, 12.265551883905257
14, 17.08238705338137
8, 11.56838748051262
17, 19.89944708745784
14, 17.682109910716722
6, 13.514923065034099
5, 11.414615636400386
9, 14.548543215362637
13, 17.78173997497736
8, 14.509558574040229
7, 13.667871913333629
8, 11.744549750165865
11, 14.030252816527458
12, 16.925307637311278
10, 15.835405344954557
10, 16.171292049562254
7, 12.50372779234516
10, 15.28273086140469
6, 10.993658096912796
11, 14.791495258237308
11, 16.32958357584343
7, 14.576760048278663
6, 9.484469740027565
14, 17.002324827296057
15, 16.826123917025413
13, 16.692505491730916
7, 14.002451742606866
10, 14.706952037827964
12, 17.450375857554885
8, 12.61954880979166
12, 17.47883225018238
17, 17.758220524541933
11, 13.769265270019176
9, 14.453228817646721
12, 21.05319878518527
11, 16.63303095499172
10, 16.0667341434541
19, 23.168402489543567
8, 13.823505656348082
6, 12.853893365876866
7, 12.561598027264958
13, 19.471777371149336
12, 16.064831059345387
12, 15.003647877303502
5, 13.75360191883815
7, 11.599852088249207
14, 17.29816111105855
11, 13.50536640418622
16, 19.488297511635764
9, 13.13973528156206
13, 16.444530515790618
3, 8.650448046866082
10, 15.645259650098305
7, 12.712881598497313
10, 13.134089331944296
14, 15.091776317395128
5, 10.451717389785792
7, 12.800231686182093
12, 16.468759902201235
11, 13.280857048765846
15, 17.897967201805297
9, 11.23644581974225
13, 15.54714307658877
5, 11.16160699419586
17, 18.48809847536726
9, 14.328140270370074
7, 11.808323410592125
6, 11.625351549293885
11, 16.594883063111386
9, 13.732869906214273
14, 18.790032250892178
8, 11.836312443247772
10, 14.806597300830752
6, 11.213176442602974
10, 18.349830858176386
15, 20.648100970806293
14, 19.26018051011281
9, 12.08891064181499
10, 13.519000588350178
11, 16.85397948395449
14, 18.040447091898283
13, 15.75721735423436
14, 18.138274041321765
7, 10.581079021245623
8, 13.22151551216035
10, 16.133340144052383
14, 16.31446874638217
12, 16.08729298979529
8, 12.18826959233205
7, 15.546449335616108
10, 11.500997599911656
8, 13.299271214990414
12, 17.77231547085441
11, 14.894740396679005
7, 13.036735229323774
9, 13.890396284719062
11, 17.318506901859248
6, 12.225277856306228
8, 13.190340079425944
11, 16.20830397359985
4, 12.488724019037491
17, 20.329707136381053
10, 15.662622707206763
8, 10.251209437664688
6, 9.479784962642551
5, 11.81889724801012
13, 15.842010210530999
14, 19.704185341853094
7, 10.834757370402313
11, 15.46853363620099
4, 12.17426635000748
14, 19.88416355533829
7, 13.386412317026371
8, 13.737070331198318
9, 13.032255681092318
10, 14.519727044438211
11, 16.439868314853946
6, 14.443976247925798
6, 12.987917602566709
12, 17.503834109538616
14, 18.448173854104187
13, 18.79903590742577
8, 14.91657047066061
7, 11.915212880807703
12, 19.60929602394965
9, 13.359227019065736
6, 11.802404601238912
15, 19.11742394865002
11, 15.580922276035494
11, 15.766757311020315
13, 16.224572857344107
10, 16.85202004503037
12, 16.547713262556314
14, 19.046761561779107
13, 18.894682302211887
13, 17.323859632390533
7, 13.608735451801104
12, 13.61719197434697
14, 17.331330220554314
5, 10.78561438500582
23, 25.98451531577817
9, 13.424111540010356
1, 6.917795443212978
7, 9.984587348401151
9, 14.569254517043918
6, 11.317732237345327
14, 16.02044017614752
8, 13.670945742457702
9, 13.15648489092228
7, 12.254617867020904
8, 13.435758566320818
10, 11.49002943714989
7, 12.32978229972606
13, 16.11353941635865
9, 14.76933197366921
9, 14.953638532583255
14, 19.129560492582705
8, 12.934748686812311
13, 18.53361646950448
13, 18.125789172293175
16, 21.468574973407325
6, 11.827277713000822
19, 21.072675701915507
11, 14.582459181136246
7, 12.521357885998736
10, 13.737871618189812
7, 11.16596547867689
9, 15.365128395009808
10, 14.935711914048488
11, 12.636962915506997
8, 12.379168814277174
11, 15.79929576364648
8, 12.971950375712114
11, 13.079091735261715
10, 14.259937319896572
14, 17.54647492869262
10, 14.70040462312362
2, 7.520017796234487
11, 16.072098366775993
11, 17.48702139939239
11, 14.216232705876001
14, 17.95589009221303
8, 14.424083635634934
9, 13.935921832862908
14, 14.79195292438464
10, 14.08486222524756
7, 10.53981904429361
15, 18.044323151358302
9, 16.132991830133527
6, 12.394811730553556
5, 13.025024165576333
5, 11.446938104621243
8, 11.170708015112346
8, 12.11537925354845
11, 16.25220346358484
13, 17.81117018392136
11, 14.911824409309842
20, 21.389658593582613
13, 16.661218268679114
8, 16.018049613369865
10, 15.657205995512676
7, 10.710746651565632
8, 13.469328424680569
10, 12.65286638890241
14, 16.858202741539916
11, 15.322733315491185
8, 13.725175162821273
15, 17.563740531791186
8, 12.681317950724935
8, 14.95749529878333
7, 13.656365511031366
9, 13.122329589896724
9, 14.739484985562468
7, 11.942147135375768
11, 15.22527269214572
9, 14.043572433321625
11, 15.815768073596825
15, 17.825258238950678
9, 13.102459069107814
7, 11.33036973089226
13, 16.866183874432842
18, 20.615634154285573
10, 17.439897559130465
6, 10.389547303455716
8, 14.402816093705638
11, 14.12649162864078
12, 14.441950605336482
3, 11.972752752634191
13, 14.544197899795588
17, 21.089092652539232
17, 18.028229820794525
12, 14.105388975871248
8, 11.724825496314946
4, 9.75184466674037
12, 15.340697879650586
8, 13.28204679806671
6, 10.40998243694176
14, 17.287871619995165
7, 14.579101512898438
13, 19.82245819585811
7, 12.847096892745117
7, 10.894940784419928
8, 12.099202136750618
18, 21.707695343637834
8, 13.90728048505116
6, 12.24649866282233
9, 13.023534005164768
7, 12.497334521463708
12, 14.11416800459999
10, 13.489592912445133
9, 12.29575546296034
17, 20.08379406711238
9, 13.488688413276185
11, 14.158587067464524
12, 18.915427422711154
9, 18.43329379011421
12, 19.142790123987005
7, 12.197761016672102
9, 13.53163489634728
8, 12.203517087857351
7, 13.270721211192704
9, 13.741537920317455
8, 13.838059859722122
12, 17.17221936643422
7, 12.067684397947508
9, 13.106461558811871
12, 17.713575136815056
6, 12.361878903694745
12, 16.72588752315455
8, 14.382390646458248
11, 15.41323710195531
11, 15.271392071806032
11, 15.29311836740315
5, 11.243792053034007
11, 14.919675004887415
17, 21.455672641846984
12, 16.439823975662627
8, 15.46838191644218
9, 12.297796192137985
15, 18.5031912515047
7, 10.426162228755668
7, 14.168504397683156
12, 14.87847337885178
9, 14.589806617799047
11, 15.443777751434341
11, 13.451067345746633
4, 10.262021913679568
3, 11.84201717439481
11, 13.764747326571973
10, 14.2333783496497
8, 15.706533254813564
9, 15.381133728456438
11, 14.035625654315634
3, 10.886404974685496
14, 19.068596709132617
7, 11.652928493651766
9, 12.1982782683184
11, 15.610405209300163
15, 17.40607370010145
6, 11.394433925076832
4, 8.87544323425529
1, 8.144741832928352
13, 19.442626608156647
4, 10.330658276098983
11, 14.794390705815163
9, 13.993870243866219
7, 10.324371098134426
10, 15.805607670944871
9, 15.772785183353864
13, 17.861183640195524
12, 15.12844160477185
14, 17.79614020202632
11, 16.839358680843485
10, 17.480181714857007
15, 17.609551885697574
6, 12.068627106076088
13, 20.093251539515066
11, 16.26969779238425
11, 16.34499619004357
11, 15.260399194068352
8, 12.870643073317696
15, 19.110527217850773
10, 14.778995136357224
10, 14.129225105864279
9, 11.748783809862875
9, 14.576695839517264
12, 22.340933477756785
13, 18.185080405836697
9, 14.043114745536968
9, 14.912821408535162
10, 16.666217732670773
8, 15.81904596323487
3, 8.9137654485373
9, 17.079429616198226
11, 14.455388401457997
11, 13.583373643713921
11, 15.843316178889797
9, 15.500113179054859
10, 13.392506013861992
14, 17.960523123852617
12, 15.37798821380869
12, 15.105627813405677
12, 16.310212943248818
7, 12.780602284395343
10, 14.250124334947778
8, 14.340869750112024
9, 13.083563763278695
8, 14.0360029404169
12, 17.393297862435727
7, 11.490301909713532
8, 13.72130732262689
21, 24.64849362413726
8, 14.295536592748055
7, 11.39302057468834
9, 14.330274043444794
11, 17.91452895878185
8, 16.019100384438822
9, 15.989133852886736
11, 15.903186604902269
7, 12.248988575878059
11, 13.40526441622265
9, 11.46271241265036
12, 16.077104714282317
7, 13.263348904204841
8, 15.333822066657623
12, 15.900072068469072
9, 12.033510022657477
7, 11.612723960161887
13, 17.185858193221595
4, 10.853437794197038
10, 16.354004684967595
10, 15.570179993341664
6, 13.342127479595721
4, 11.895332259012585
7, 11.637700279123862
13, 16.86085851544912
2, 9.324628100153518
9, 11.937699431920585
8, 15.288026069066584
14, 17.235678917430135
15, 18.458475563578077
11, 13.5934518919715
6, 14.990832920904651
6, 11.894643452877718
10, 16.519505847741137
13, 19.301384104748266
8, 13.37443510476655
9, 13.477463391117212
7, 10.56491727858372
10, 14.890012571206784
11, 16.088803570401346
7, 9.587495414647385
10, 15.254087733712007
8, 13.452098884095113
6, 12.542808460951719
11, 15.586539786400333
9, 13.082670631102987
15, 19.923229691445634
9, 11.517167970605172
9, 14.376749401067853
9, 13.594921291850742
12, 14.107054591377198
5, 9.712134214347477
11, 15.801605295461624
7, 14.857344909140716
13, 15.516311059172594
8, 13.605697966289178
13, 16.69397509348996
8, 14.607077130278114
6, 10.846032725246603
7, 11.554082576035107
6, 14.7200292505328
15, 16.946039466294216
10, 13.144740743384006
11, 14.63784814448487
9, 13.63723142252739
10, 17.332067489355683
10, 11.681023765109591
11, 15.449634998522587
10, 15.075177817237574
6, 9.677346664601044
9, 15.092897350976017
10, 15.77081127495914
6, 10.468713087674836
12, 16.41890320961068
12, 13.64803313478257
15, 17.64091822595834
5, 11.558586929115014
9, 15.174844460767519
10, 15.457305825933267
13, 16.545700612178628
11, 16.51547813078798
16, 16.93535686183162
11, 15.581546730670084
5, 8.503460443513845
6, 12.312841684401919
13, 15.64447829589825
3, 9.475777435770768
13, 21.198728234024365
10, 12.548757365316561
6, 10.060489816997267
10, 11.742150502107146
8, 11.169471558934386
10, 15.40596374545763
11, 19.12339246024737
10, 15.567162891762615
12, 13.761307678176781
13, 16.406026428067516
12, 18.626233306553523
9, 15.711347991566807
10, 16.319293586940113
9, 14.532088463064364
8, 11.758367793569462
14, 18.705363792585054
6, 8.573377451423232
7, 11.922134526494869
10, 14.93908355206906
11, 17.153014695925343
7, 9.429255701940502
6, 10.667636825025715
6, 10.232762322833299
6, 13.625621433634825
4, 7.714030108849499
13, 14.737900521877174
7, 12.44692237750409
7, 13.860033704774034
11, 14.756644614906753
9, 14.738162269227864
11, 11.20486312000515
7, 11.217224120284794
16, 22.001212036927637
16, 20.4897844113098
4, 7.460230247569892
8, 13.430151782636484
10, 15.908864855709059
6, 11.083074676237944
8, 12.18512945738193
5, 8.123764371202908
6, 10.989597484683518
13, 16.083305659626905
9, 14.61626605205203
6, 13.04318806397992
7, 13.540921451257022
12, 14.943388390724877
11, 15.503830600763226
12, 18.974368055659625
6, 12.783737883845545
4, 11.049200965641454
12, 16.67659586009667
7, 17.260526006809897
15, 19.579944044808194
5, 9.43263432548043
11, 14.520874377299585
10, 12.936674763833828
6, 13.834909238365485
7, 11.760945448269245
8, 12.260012743707035
11, 16.22065076674063
5, 12.95841792281168
7, 13.016487241320425
7, 11.33282170892031
11, 13.801357002138447
10, 13.692804151855777
23, 26.049708607004924
8, 13.874062759280298
13, 16.666389463509788
4, 10.393440436495839
13, 17.793833267057902
14, 18.108146165606122
12, 16.97989950860193
9, 14.92640087095092
13, 15.736255506712567
12, 16.083829183387795
12, 16.47029931119108
10, 14.089008142597603
6, 11.20390858294379
7, 12.928594894011797
12, 15.008402324354735
8, 15.133718302487788
10, 12.800240256225196
6, 11.669102236011662
9, 14.870397270403586
14, 16.919400397860635
10, 12.42825671515468
9, 14.94789609008249
13, 15.45411279494223
13, 17.717029104577275
11, 16.58730229602058
9, 13.08678587231564
5, 12.930071105790391
8, 12.98675966461185
7, 9.918483748361208
9, 12.613595119542097
11, 17.32549261233567
14, 19.653369941266064
16, 19.13895572692652
13, 17.386799073260136
13, 18.05045545819957
8, 13.038909450180743
6, 12.741104161306277
12, 17.09057648554266
9, 13.269640852279696
9, 14.635034274496233
8, 13.380871077940363
8, 13.361906703305523
12, 14.865809055506602
9, 17.96568409597262
11, 14.836646214389031
5, 11.575243433279704
14, 15.365567856706768
11, 16.74548374884112
9, 14.55101320154211
10, 14.682297381473889
8, 14.474211702737586
12, 16.203142604950266
10, 16.876428858857494
13, 16.178604215175238
10, 15.972951107626601
10, 13.79800935489359
14, 18.938849302557735
9, 14.19476775573682
12, 15.538361666701896
14, 18.759489214362265
7, 13.030105694299898
10, 13.700654216904297
9, 11.761846889775518
4, 8.883622448308095
18, 22.491608451979456
5, 11.584172019203033
5, 14.601394416224316
10, 13.831104683634038
9, 13.968391827851496
7, 9.640327212446197
10, 14.75228682564086
10, 13.872858521702621
9, 14.765048500363505
4, 9.295497423660825
10, 15.268622325659862
11, 12.92909644876089
11, 14.965881447455835
11, 13.92950167995216
8, 12.4080753008047
10, 13.501705041001102
7, 12.848808762061335
9, 14.725070620317021
2, 8.56118557874819
9, 12.337557610325325
6, 11.8200916432769
12, 17.32760148679671
11, 15.722167286196155
11, 14.050710275934184
11, 14.495563888210889
10, 13.635359126885994
7, 11.35283832927296
10, 15.008423830920211
6, 12.08107567429401
9, 14.914936652568418
15, 20.49588565424356
10, 16.135219643877807
9, 12.852804739501298
9, 15.580322850425814
8, 13.498459533571735
8, 14.386271248328361
7, 10.598750127652213
13, 18.876808702915252
7, 13.145153672880436
4, 7.797428232485501
2, 9.67332457163705
8, 11.041178883161846
