Threshold, Curve
42, 62.09337129852407
32, 58.6754087128891
38, 53.93579815549135
36, 56.15183040993945
29, 51.45880630713964
28, 48.43510675088023
47, 63.19286996072941
46, 63.74012283960055
43, 64.16814742082143
29, 48.098046886976036
37, 53.43969784406425
34, 48.68948256544052
50, 71.20253591500895
34, 60.88095569626613
46, 57.22275343845058
47, 63.216850555692886
35, 54.8953808988657
38, 53.68652727356572
22, 38.755178370124824
37, 52.404330350151234
43, 62.64001850302015
31, 51.11352403617266
36, 58.38295786988016
33, 49.74636680909045
40, 60.18917869603322
39, 60.71854166073977
43, 59.14855475930615
30, 52.04814516747328
43, 64.56527820424097
38, 53.44068992035242
35, 59.20882552668497
45, 63.622201921919554
50, 68.72718577634637
28, 48.43197483785288
42, 61.94783504202762
28, 53.19261605553225
32, 51.21326022668103
25, 43.939094493055215
48, 69.54159510454568
28, 51.602433304927
35, 48.551062619224204
32, 51.62249374250182
34, 57.970631628490324
35, 53.454779510582966
30, 53.59178978474003
44, 56.898000571748064
41, 60.205174189980774
34, 51.02687510942467
39, 56.37336179360803
33, 55.41373338729549
36, 55.104395768529734
29, 48.545216328292234
41, 60.48295064527852
43, 55.36228113955519
26, 46.730296305274244
30, 53.65241483703727
42, 55.77906337830577
30, 50.26197843358969
40, 57.01684685102867
44, 68.11122206497103
40, 57.26721877353991
39, 54.1541836556793
35, 58.38984368679279
37, 54.4087881486923
40, 62.437463645219445
37, 49.98732969475717
40, 60.960875729325984
37, 56.27177734285037
39, 61.1841831042603
31, 54.2632688508627
34, 49.685352102239534
42, 60.58189801242749
38, 56.36336788897594
39, 57.361936910057224
31, 55.9467086232016
41, 58.34154849745082
53, 66.81092839626625
34, 56.19197328456036
41, 58.92787988760707
26, 44.90827251167108
37, 55.831153428244384
49, 63.846206226064645
37, 56.313260217007716
28, 53.74542272544252
42, 59.53873979143202
30, 49.14411792658028
46, 64.82074129699603
35, 53.4977004971195
38, 53.8381710245565
38, 53.949318823982324
29, 47.635912297544714
40, 56.89045241662111
53, 70.91329216901775
30, 51.52634633213526
36, 56.081033467951166
35, 60.05706742066926
36, 58.41652451888229
43, 66.72118718099479
33, 55.37935069941641
40, 57.189573112181634
41, 57.24039429069988
30, 48.644059265594564
32, 55.19548464126069
30, 47.512131885751
40, 61.37116317564094
36, 55.45181332387318
41, 55.823597585136916
30, 50.79690968103911
43, 62.15210493206804
52, 68.0782740123342
35, 53.914377941954726
31, 52.45330092574145
40, 55.54185142812111
33, 52.1364171324901
37, 54.6522831544211
36, 49.93828402617867
35, 51.9597459356131
48, 62.214840554850056
33, 51.068948169055055
35, 62.48317983753569
39, 63.089207454623185
31, 55.50546037098723
48, 59.3272168161618
28, 47.599660390600604
42, 57.434576635849496
46, 63.544571745208245
36, 50.646221082704024
38, 56.84288083715421
34, 58.94872260199047
29, 48.65819361102984
36, 56.952105101415206
43, 63.332300116208565
32, 54.60213529685534
32, 55.22658590240647
41, 60.06823014838291
48, 61.380866001327924
29, 48.332191832439314
39, 53.60860734607045
46, 62.0364351057723
43, 57.22279800009413
40, 57.891131758817025
31, 51.924824127198704
38, 53.88973214555295
39, 50.4856774664322
44, 61.9833114498101
40, 54.480100829023144
45, 60.05678111496296
30, 53.87549081627086
44, 59.97530700686974
42, 60.429221458314075
30, 46.06010202224669
39, 55.23264636099252
41, 62.226654638051855
36, 56.295841783472675
40, 62.289139999384886
41, 59.05673405478383
45, 55.1971917205078
33, 52.79784335104505
32, 51.831010464507884
38, 55.743600729527905
47, 65.57381860578091
44, 61.02871637430508
40, 58.6963729820584
40, 60.50775442831493
35, 48.97390967012071
35, 53.513749313892056
29, 41.82018152113717
37, 56.966895427864
37, 60.529107184290034
