Threshold, Curve
5, 5.2184559878712165
5, 4.658399902877376
3, 3.4588273928171547
5, 4.488825133052501
5, 4.624788902848678
2, 3.223573060952727
7, 6.924314528992991
4, 3.7260831459578143
4, 5.0033319245761625
0, 1.481665966201856
2, 2.2509319178964637
4, 3.188508477115344
1, 1.9837877654047005
4, 4.725763335353857
3, 4.000222147341033
2, 4.228675800079204
6, 4.899520552783661
6, 5.761139040885291
1, 2.4301571867012464
5, 4.444252814167345
2, 2.802840053348776
12, 9.3642092128526
3, 2.896121127705527
1, 2.8183154650083284
1, 1.8582044196081893
3, 2.996299661049724
5, 3.839955313551253
1, 2.550024788988985
4, 4.406506938436271
5, 5.230610604246296
4, 4.58107179559953
6, 5.666551765849435
4, 4.5481284145829495
9, 7.856556982351033
6, 5.494006851967734
7, 6.967343143513729
5, 5.179642197992852
2, 2.722528258601788
0, 0.8024060291994688
5, 4.419091037429067
4, 4.538785375331858
5, 4.973457672512505
1, 2.0272453062178113
3, 3.24975563446349
2, 2.1483323976222763
4, 3.6244970622787873
5, 4.530117993428608
3, 2.858700161191715
3, 2.8825645394188437
4, 4.213591472814916
1, 1.6797612413263097
2, 2.3356250074091607
3, 2.8099612190274503
7, 5.325193233716469
1, 2.2456663674908293
3, 2.9864235273785438
2, 2.114376081797149
2, 2.9676341220186027
8, 5.346799424697781
1, 2.2304301421071706
3, 3.3869907821336276
4, 3.9049893659905477
1, 1.9924498348600377
1, 1.5007668362841555
3, 2.8435627694982806
1, 1.3742595125067538
2, 3.2138960896067914
5, 4.508200254476332
4, 3.9913707437133317
2, 1.926420388804012
1, 2.019305221104945
5, 3.7526822959666344
2, 2.342146051670781
3, 3.7078119924109196
2, 3.117645881065711
2, 2.496018689446332
5, 3.8991385509778507
3, 3.2037106900094368
3, 2.4670029828577467
1, 1.061429423411911
2, 2.602733459958824
5, 3.7108333359062136
3, 3.439010034956972
8, 6.777497455520314
4, 3.1734878636693917
3, 2.9085647903354315
7, 5.78764559744632
5, 4.791015126768432
3, 2.495014057307133
4, 3.862224947885109
4, 3.0283256266775034
2, 1.6801740435307901
4, 3.6290089655986097
2, 2.1172009874573643
4, 4.111909578077766
0, 1.1450538552802376
5, 4.67665906608318
3, 2.5153803915606163
0, 0.3711628180466224
3, 3.7194612592014056
7, 5.302160527951227
2, 3.248295123080984
0, 0.592315643782394
3, 3.0714038135345008
2, 2.759920557421063
1, 1.9294370208064215
4, 3.200252344551844
4, 4.570831045442667
2, 2.488552929845763
4, 6.991015849834226
3, 5.1475826058932155
3, 2.87567730389305
5, 4.372347693771052
1, 1.7889288958406282
9, 6.855855792385608
5, 4.174615698333212
3, 3.8499721508241698
4, 3.253672132312419
1, 3.036012766385649
7, 7.466037112413734
6, 5.964885651750678
0, 0.8517157558231797
3, 3.3752057694106314
4, 3.82077054086079
4, 4.583064595681498
5, 4.9713550833949975
1, 1.8154619285258047
4, 4.093441724723145
1, 2.011005847636515
3, 3.7580167389221724
5, 3.997537143861801
8, 6.432857291950063
4, 3.614872743428601
4, 2.928143679191122
4, 3.376525981318928
5, 4.156476322900835
6, 5.329451288262405
6, 5.040869002399732
1, 1.5581175369786116
3, 1.9099158376072283
2, 1.5956000239272283
5, 4.127439593803985
2, 2.504745109151226
2, 2.7696032663451033
2, 3.537668280574961
1, 2.983866279222484
0, 1.1371455155239143
4, 3.3342515229636103
3, 2.842562039226279
6, 5.1569688100869335
4, 4.429534439461631
7, 5.852113060035737
3, 2.763992819493456
3, 3.431140928345404
3, 2.4489405023983974
4, 3.3469287399344423
3, 3.4704616323025346
2, 2.938252419534427
5, 4.868192644519127
3, 4.497370731964397
