encode, encrypt, cipher_mult, plain_add, decrypt, rescale, cipher_add, plain_mult, lower_mod
0.003304600715637207,0.9868885278701782,3.3205714225769043,0.00037407875061035156,0.5928213596343994,0.0005028247833251953,0.0006411075592041016,1.012610673904419,0.0006020069122314453
0.0032955408096313477,0.9522565603256226,4.625696897506714,0.00036072731018066406,0.8205606937408447,0.0006730556488037109,0.0008311271667480469,1.2062103748321533,0.0006341934204101562
0.003086090087890625,0.9370759725570679,2.755452871322632,0.0002963542938232422,0.48722362518310547,0.00046825408935546875,0.0005948543548583984,1.0252914428710938,0.0009188652038574219
0.0037500858306884766,1.2788043022155762,3.8179385662078857,0.0003199577331542969,0.5024662017822266,0.0007915496826171875,0.0010654926300048828,1.0319294929504395,0.0006377696990966797
0.004078269004821777,1.055222988128662,3.2337493896484375,0.00031948089599609375,0.5410215854644775,0.0005021095275878906,0.000682830810546875,0.9939241409301758,0.0006000995635986328
0.003018617630004883,1.0274451971054077,3.306882619857788,0.0003161430358886719,0.5113623142242432,0.00048351287841796875,0.0005981922149658203,1.0087573528289795,0.0006830692291259766
0.0030455589294433594,1.0367586612701416,3.3265581130981445,0.00031566619873046875,0.4961075782775879,0.000484466552734375,0.0006124973297119141,1.0292472839355469,0.0006079673767089844
0.003117203712463379,1.0626988410949707,3.3415634632110596,0.0003376007080078125,0.5684309005737305,0.0005707740783691406,0.0007350444793701172,1.0938000679016113,0.0011403560638427734
0.0033919811248779297,1.1515239477157593,3.649822473526001,0.0004382133483886719,0.5298211574554443,0.0005097389221191406,0.0006434917449951172,1.0096654891967773,0.000591278076171875
0.003016352653503418,0.8891623020172119,2.717841625213623,0.0009872913360595703,0.40670084953308105,0.00043082237243652344,0.0005826950073242188,0.9105415344238281,0.0005505084991455078
0.002779245376586914,0.8837776184082031,3.438406467437744,0.0003857612609863281,0.613429069519043,0.0006237030029296875,0.0007488727569580078,1.0661122798919678,0.000640869140625
0.003066420555114746,0.9301242828369141,3.0388143062591553,0.00029754638671875,0.4408283233642578,0.0005490779876708984,0.0006227493286132812,0.8880255222320557,0.0006108283996582031
