ideal,curve,encrypted_curve


0,6.728763065586973e-17,-3.485912470267721e-12
0,1.619037074542897e-06,7.73099316535033e-14
0,8.313742339447233e-14,2.145145696619271e-12
0,1.619037074542897e-06,6.182926790036665e-14
0,4.2947713493791524e-24,-3.0349188143088092e-12
0,1.7142546582591492e-20,-3.214807941527582e-12
0,1.555633178795664e-53,-2.3223648016761464e-12
0,3.514284362046032e-16,4.4551902771847955e-12
0,3.682604369748083e-06,-4.315275256683197e-12
0,7.486703179690605e-21,-2.336494339887651e-13
0,0.030712654242080018,4.598179037721168e-12
0,3.7937765486647073e-29,-3.3230492172544387e-12
0,3.52301984308738e-10,-5.770912371127385e-13
0,7.49744347645064e-45,1.1572094431174796e-12
0,8.162766013510933e-25,1.4485782391299257e-12
0,7.129792535007037e-50,-7.375012092636631e-13
0,3.457957306218747e-09,-6.3088908771842826e-12
0,4.210766867461582e-15,6.970404327096797e-14
0,0.0005082354462829357,-4.3343987505548476e-13
0,7.129792537073822e-50,2.7433641479984145e-12
